Year,Month,AAPL,GOOG
2016,8,103.3460,775.7935
2016,9,106.4832,773.6195
2016,10,111.1418,788.4495
2016,11,106.2989,766.6410
2016,12,110.3884,782.1714
2017,1,115.4419,807.9048
2017,2,129.4857,816.9166
2017,3,136.3517,834.1113
2017,4,138.5519,844.0568
2017,5,148.0009,939.2841
2017,6,143.9381,953.7668
2017,7,144.3939,942.8650
2017,8,155.2586,922.0230
2017,9,154.0604,931.2995
2017,10,154.2644,982.5223
2017,11,168.9285,1030.4928
2017,12,168.6258,1043.6530
2018,1,170.6994,1130.7705
2018,2,164.9220,1088.2068
2018,3,171.8790,1091.4905
2018,4,167.2870,1035.6962
2018,5,183.2075,1069.2759
2018,6,186.5088,1137.6267
2018,7,188.1798,1187.5905
2018,8,211.4778,1225.6717
2018,9,220.3565,1175.8089
2018,10,219.1379,1110.9404
2018,11,190.2468,1056.1624
2018,12,163.5648,1037.4205
2019,1,153.5078,1072.2643
2019,2,171.5352,1114.2421
2019,3,177.9682,1166.0536
